Pt_No, omega, eh_c01, eh_t01, sl_mon_b_vol, sl_mon_t_vol, lmbd_countsroi1, lmbd_countsroi1_atten, lmbd_countsroi2, lmbd_countsroi2_atten, lmbd_countsroi3, lmbd_countsroi3_atten, dt
0,45.461578125,15219.0,1.2,0.035312500000000004,0.034375,9691.0,9691.0,33221.0,33221.0,80032.0,80032.0,1.2255160808563232
1,45.462575,14980.0,1.2,0.03484375,0.036015625,10638.0,10638.0,35458.0,35458.0,80609.0,80609.0,2.4723856449127197
2,45.46360000000001,14786.0,1.2,0.036328125,0.035859375,11857.0,11857.0,38305.0,38305.0,83350.0,83350.0,3.7556371688842773
3,45.46466562500001,15105.0,1.2,0.036171875,0.0334375,13279.0,13279.0,42011.0,42011.0,86896.0,86896.0,5.022242784500122
4,45.465715625,15160.0,1.2,0.035937500000000004,0.035546875,14899.0,14899.0,45849.0,45849.0,91369.0,91369.0,6.262923240661621
5,45.46676562500001,15028.0,1.2,0.036796875,0.03515625,16791.0,16791.0,50097.0,50097.0,95254.0,95254.0,7.579078435897827
6,45.467825000000005,15201.0,1.2,0.035234375,0.03484375,19595.0,19595.0,56033.0,56033.0,101933.0,101933.0,8.890115737915039
7,45.469003125,15258.0,1.2,0.0375,0.035078125,22932.0,22932.0,62189.0,62189.0,108047.0,108047.0,10.247387409210205
8,45.470059375000005,15248.0,1.2,0.03625,0.03484375,27432.0,27432.0,69852.0,69852.0,115371.0,115371.0,11.562402963638306
9,45.471112500000004,15332.0,1.2,0.035859375,0.03421875,33297.0,33297.0,79459.0,79459.0,125325.0,125325.0,12.854642391204834
10,45.472212500000005,15365.0,1.2,0.035312500000000004,0.036171875,42776.0,42776.0,92625.0,92625.0,138332.0,138332.0,14.17236614227295
11,45.47330937500001,15107.0,1.2,0.035078125,0.034609375,55008.0,55008.0,108029.0,108029.0,153693.0,153693.0,15.504079341888428
12,45.474403125,15228.0,1.2,0.03546875,0.035546875,71246.0,71246.0,128676.0,128676.0,174852.0,174852.0,16.806068181991577
13,45.47551562500001,15221.0,1.2,0.033203125,0.03453125,97890.0,97890.0,162806.0,162806.0,209405.0,209405.0,18.173689365386963
14,45.47660937500001,15243.0,1.2,0.0375,0.035,139891.0,139891.0,216500.0,216500.0,262693.0,262693.0,19.52713394165039
15,45.47774687500001,15326.0,1.2,0.033984375000000004,0.035078125,210174.0,210174.0,308256.0,308256.0,355140.0,355140.0,20.891912698745728
