,Energy,Intensity
0,4868.79052734375,3179.0
1,4869.9150390625,3539.0
2,4871.0380859375,3869.0
3,4872.1630859375,4377.0
4,4872.72509765625,5079.0
5,4873.849609375,5680.0
6,4874.9736328125,6569.0
7,4876.09765625,7579.0
8,4877.22216796875,8823.0
9,4877.78466796875,10246.0
10,4878.9091796875,12250.0
11,4880.03271484375,14643.0
12,4881.15673828125,17572.0
13,4882.2822265625,20672.0
14,4882.8447265625,25941.0
15,4883.9697265625,34779.0
16,4885.09326171875,44033.0
17,4886.21826171875,58707.0
18,4886.7802734375,83395.0
19,4887.90576171875,122773.0
20,4889.03076171875,193539.0
21,4890.15576171875,315573.0
22,4890.716796875,551459.0
23,4891.84228515625,841660.0
24,4892.9677734375,741263.0
25,4894.0927734375,316043.0
26,4895.2177734375,154950.0
27,4895.779296875,140263.0
28,4896.90478515625,170295.0
29,4898.0302734375,183239.0
30,4899.1552734375,175172.0
31,4899.7177734375,184377.0
32,4900.84375,203340.0
33,4901.96728515625,187059.0
34,4903.0927734375,137343.0
35,4904.21826171875,91495.0
36,4904.78173828125,58388.0
37,4905.90625,36087.0
38,4907.0322265625,27737.0
39,4908.15673828125,29289.0
40,4908.72021484375,30262.0
41,4909.845703125,27548.0
42,4910.97119140625,24249.0
43,4912.09716796875,24349.0
44,4913.22216796875,30149.0
45,4913.78564453125,37738.0
46,4914.91064453125,44745.0
47,4916.03662109375,47191.0
48,4917.162109375,45070.0
49,4917.7255859375,41101.0
50,4918.85009765625,34598.0
51,4919.97705078125,27491.0
52,4921.10205078125,20754.0
53,4922.22705078125,14417.0
54,4922.79150390625,8997.0
55,4923.91650390625,5776.0
56,4925.04296875,4174.0
57,4926.16943359375,3886.0
58,4926.732421875,4297.0
59,4927.85791015625,5645.0
